username,comment
Raihan Presiden Washil,"Ilmu yang diperoleh di sini tidak hanya berasal dari para dosen, tetapi juga didukung oleh lingkungan komunitas yang sangat mendukung mahasiswa dalam mengembangkan minat dan kemampuan mereka secara lebih mendalam."
Muhammad Ismail,"Untuk saat ini Kelas dan bangunan sudah sangat nyaman untuk belajar terlebih lagi untuk perpustakaan adem dan kedap suara. Hanya saja lab harus tingkatkan bagian spesifikasi komputer agar bisa mengimbangi beberapa matkul praktikum yg menggunakan aplikasi yg berat sehingga bisa di gunakan dengan baik, Terimakasih."
Eunike Ptr,STMIK WICIDA kampus IT terbaik di Samarinda. Sangat banyak ilmu dan koneksi yang diperoleh disini. untuk saran sebaiknya lokasi parkiran dapat dikelola dengan lebih baik agar tata ruang lebih nyaman dan laboratorium sebaiknya diupgrade.
Yosua Hua,Kampus terbaik untuk yg mau kuliah jurusan teknik informatika
Aurelio Alva Denta,"Stmik Widya Cipta Dharma memberikan sebuah kinerja yang cukup baik seperti ruangan yang dingin dan sejuk  ,pelayanan yang baik kepada mahasiswa/i ,mempunyai dosen yang baik dan berkualitas sehingga lebih fleksibel untuk bertanya dan …"
M. Ghilang Fitrian,"Alhamdulillah bisa berkuliah di wicida, dengan fasilitas yang cukup baik dan memadai membuat mahasiswa nyaman untuk menuntut ilmu, namun harus terus di tingkatkan lagi."
M. Fabian Ariandy,"A good campus to study at undergraduate level, with adequate facilities, good lecturers and courses that are relevant to the study, this campus is a good choice for studying. However, this does not mean that this campus doesn't have it's …"
Raihan Presiden Washil,"Ilmu yang diperoleh di sini tidak hanya berasal dari para dosen, tetapi juga didukung oleh lingkungan komunitas yang sangat mendukung mahasiswa dalam mengembangkan minat dan kemampuan mereka secara lebih mendalam."
Ridho Alfarisi,Kampus dengan Lab Komputer yang lengkap dan memiliki Dosen yang berkualitas serta mendukung berbagai jenis kegiatan Mahasiswa.
Muhammad Irfan,kampus IT terbaik se-kalimantan 👍🏻💪🏻 …
Alva Rizky Raharjono,"kampusnya bagus, kelasnya mewah, dosennya baik, ruangannya dingin, wifi kencang, PC lab canggih. pokoknya best kampus di samarinda"
TRuZz Me,"Menurut saya dosen nya ramah"" dan juga asik saat mengajar, selalu membimbing mahasiswa ke jalan yang benar, mantap lah pokok nya"
Syahruridha,"Kampus yang sangat cocok di era teknologi saat ini dan menghasilkan para alumni yang mampu bersaing di dunia kerja, sukses terus wicida"
Bayu Adhila,"kantinnya tidak ada pentol rebus, wifi dan pc pada lab nya kurang untuk di tahun 2024, sebaiknya upgrade. Selebihnya memuaskan 👍 …"
Fariz Mirza,"STMIK Widya Cipta Dharma (wicida) atau yg biasa disebut dgn kampus ungu merupakan perguruan tinggi swasta yg terletak di jl. M.Yamin lokasinya strategis, dkt dgn tmpt foto copy, dkt dgn masjid, dkt dgn warung mkn, dan jg dkt dgn mall …"
Alfred Asmanda,"Lab nya banyak dan fasilitas nya bagus, saran agar lab komputer nya di upgrade lagi agar lebih baik, terimakasih!!"
Sultan,"Kampus yang bagus, punya fasilitas yang masih memumpuni untuk saat ini"
William Carey,"Kampus ini sangat amat menyenangkan WoW, dosen-dosennya ahli semua"
Nur Annisa,"Salah satu kampus swasta terbaik, fasilitasnya lumayan lengkap"
Jonathan Oetomo,"sangat baik,memiliki fasilitas lengkap dan tenaga kerja berpengalaman di bidangnya"
Ragil FJR,Sekolah IT terbaik. Semangat Skripsi nya Sipa
Mohammad Febrian Triadi,Kampus kece dengan warna ungu ciri khas-nya.
Ox Zone,Menyediakan pilihan jurusan ada 3 yaitu. Manajemen informatika. Teknik informasi dan sistem informasi. Semua fasilitas cukup bagus dan memadai. Hanya saja tempat parkir yang cukup sempit dan akan susah mencari tempat parkir kalo jam sibuk
Joykson Samuel Tehe,"Kampus nya keren, bagus, dan rapi"
Hutapea Dwi,Kampus it paling top di samarinda.menyala STMIK
Filio angga damaya F,Bagus kampus unggu
ERha ERel,Ciri khas warna ungu..termasuk kampus IT populer di Samarinda
Intan Utami,kampus yang berkualitas untuk belajar
patrik rivaldy,Kampus IT keren dan berkualitas
rizkipratono,Kampus yang menyenangkan dari pertama kali kuliah sampai sudah bekerja tetap menyenangkan bagi saya. Apalagi sekarang sudah bertambah pesat pembangunan dan fasilitasnya bertambah pesat seiring dengan perkembangan zaman. maju terus kampus stmik wicida..... mau jago IT Kuliah di Stmik Wicida saja
Firza Fernanda,Semoga makin berkembang lagi nanti
Margareta Jemeq,Kuliah IT STMIK WICIDA aja👍 …
Eldin Yudisthira,"Kampus yg melahirkan ahli IT yg handal, & siap bersaing baik didunia kerja ataupun berdikari. Lokasi yg strategis & gampang dijangkau. Memiliki lahan parkir & fasilitas multimedia yg  mendukung perkuliahan."
Agustiyawan Sadiq Zam Zam,"Selamat kita tidak perlu lagi harus pergi keluar daerah atau luar propinsi..di kota Samarinda sudha memiliki Kampus dengan Prodi Teknik Informatika dan Sistem Informasi terbaik di Kalimantan Timur "" STMIK WIDYA CIPTA DHARMA"" Jl. M. Yamin...Maju terus Good Job"
Zaldy Zain,"STMIK Widya Cipta Dharma adalah kampus Teknologi Informasi Swasta terbaik di kota Samarinda , saat ini terus berkembang. …"
Anto Joyo,"Tes kompetensi PTT...ruangan nya rapi..
Suasana lab komputer mendukung.. …"
Anime & Chill,"Terakreditasi B, dosenya asik, friendly dan penjelasanya mudah di mengerti atau pahami. Berhubung khusus tentang komputer mungkin emang belum ada Lapangan olahraganya atau emang tidak di buat, anak IT notabene ""malas"" gerakin badan. …"
Audrey Nikko,Kampus keren🔥 …
Abizer Aprido seka,Tempat yang nyaman dan berkualitas
Heny Pratiwi,Kampus IT dengan terakreditasi B yang terletak di pinggir jalan raya dan strategis dilalui kendaraan umum serta mudah ditemukan.
Paskalis Petrus,Kampusnya keren dan bagus
Gabriel Lujuk,Desain bangunannya terlihat elegan dan cukup unik.. juga menjadi tempat programmer profesional berkumpul
Gazali Rahman,Tempat para mahasiswa menuntut ilmu dan tempat tes secara cat peserta pelamar panwascam
Rafly Jp,A good campus 👍 …
Lara Mitha,Kereeeen
Muslim Sasiyi,Ada yg tau nomornya pak ari kah yg pernah jual mobil agya.. Kaya.a dia kerja di sini.. Maaf kalo salah
Ahmad Zulfiqar fauzi,"SMOGA SLALU JAYA DAN MAKIN MAJU DI BIDANG PENDIDIKAN TEKNOLOGI & INFORMASI

-Perwakilan TI-PA 2016-"
Ruyy Six,"Walaupum baru sedikit tau tentang computer
Saya mau langsung ambil MANAJEMEN COMPUTER 👍 …"
Herman Syah,Pertemuan dng dosen yg sangat ramah dan membantu sekali
Fati kristian Telaumbanua,"Ada yang bisa Nolong saya,? memberikan  informasi tentang kampus ini...🙏 …"
Fathur Rachim,"Ingin kuliah jurusan komputer, kampus ini bisa menjadi pilihan anda !"
Darius Ifan,"Maju terus STIMIK Wicida!
Ane mantan anak Diploma 3 angkatan 2008.
Xixixi..."
Muhammad Khairul,Satpamnya kurang ramah ditanya baik-baik jawabnya kasar
Kiandary hartawan Mabe,Akademik yang pertama dan utama di Kota Samarinda
JJ,Sekolah Tinggi yang sangat berkelas
Ansyari Adytia Putra,Tempat seleksi CPNS 2019
M. Hardian Noor,"Jurusannya kalau ga salah Teknik Informatika, Sistem Informasi dan Manajemen Informasi"
Arianto Yudi,Tempat perkuliahan berbasis IT terbaik di Kalimantan Timur
Rizki Aditya,"pengen banget masuk STMIK,  tunggu qw dtg tahun depan,... keren"
Jack,Susah lulus sih.. Karna aku bego kali ya ? 😂 …
Andre Puji Purwadi,pembelajarannya update dan fasilitasnya lengkap
dewi septyani,"perguruan swasta yang bagus, dengan dosen-dosen yang kompeten dan fasilitas yang lengkap."
Jundro Daud,mantap
Andi•K,Kampus paling terkenal seplanet mars
Agus Tandri Tan,Salah satu kampus terbaik di samarinda
nice jeffins,"Gedungnya bagus,pelayanannya ramah"
Andini Nurfianda,STMIK WICIDA kampus IT terbaik 👍 …
Hendri Asfian,Tertib. Nyaman. Aman
maya arifin,Tempat q mencari sesuap nasi
triska loli,Tempat nya nyaman dan bagus
Denop,Kampus sangat recommended
Ken Arik,Menjanjikan dan perlu diperjuangkan
haura wijaya,Recommended buat kuliah IT
Irsyam Syam,Sangat bagus
Irfan Wijiyanto,Kampus IT terbaik di Samarinda
Rony Rony,Keren
Nyonya Meneer,kampus mantap
Andrey gg,Ane kuliah disini :v
Maruf Rajasahaya Zidan,Kampus IT
Ciw,Bagus
Rasp Panca,Good
Abdul Rochman Raharjo,Memory indah
Abdurrahman Ngadenan,Great places
E Jim,Menyenangkan
Wayang Bagong,Bravo
Devtapra Bisnis,Akreditasi A
nur diansah,bagus di sini
Petrus Oktavianus,"Menurut saya kampusnya cukup nyaman, Tetapi beberapa kursinya ada yang rusak."
