username,comment
bujangteyvat, Tempat ini tidak ada izin untuk digunakan sebagai tempat beribadah! Ya udah kalau gitu pas mengajukan izin pembangunan rumah ibadah jangan dilarang/ditentang/dipersilit. 
ipvanzzz,@_TheHolocaust Anak buah rasis intoleran dibela oleh bos. Bos belum punya kesempatan membubarkan ibadah tapi sudah berhasil mempersulit izin pembangunan rumah ibadah.
safzsafzsafz,@iphone7decoco Kenapa gak dibantu biar punya izin pembangunan tempat ibadah/aktivitas rumah ibadah sihhh buuuuu Bumi udah terlalu panas bu jangan dibikin makin panassss
robby_karman,@BPrasetyoID @FayaAtika Yang ada aturannya itu soal izin pembangunan tempat ibadah. Kalau rumah pribadi dipakai ibadah gak perlu izin. Di komplek saya aman2 aja mau orang agama apapun beribadah.
KangDins0007,@Ant2ed @Anak__Ogi @jokowi Rumah pribadi berubah menjd tmpt ibadah sdg kan pembangunan tmpt ibadah tentunya hrs ada izin nya sesuai dgn aturan yg berlaku. Intinya jgn sewenang wenanglah
wiratamiang,@ch_chotimah2 @jokowi @Kemenag_RI Kalo ibadahnya personal sih gak perlu izin. Cuma kalo poin pembangunan rumah ibadah ada aturannya emang
SarwediEdi6,@BayuAngora Pembangunan rumah ibadah itu ada izinnya SKB 3 Mentri kalo gak ada izin itu menyalahi undang undang kristen terlalu banyak sekteÂ²nya dan setiap sekte gerejanya sendiriÂ² setiap sekte mencari jemaatnya untuk perpuluhan agama dijadikan bisnis oleh para pendeta.
mdsjkt,@Tita83079013 Kasihan bgt akidah ummat akhir zaman Jilbab itu pakaian untuk menutup aurat dan menutup aurat itu kewajiban dalam Islam. Pembangunan rumah ibadah itu melalui izin FKUB yg diisi pemuka lintas agama. Pelajari lagi izin pembangunan rumah ibadah drpada nyebar info salah paham.
Seen_narsus,@hanmula Memng ada statement pribumi tpi coba dilihat fakta yg terjadi di Jakarta selama 5thn apa ada diskriminasi ras/suku yg terjadi di Jakarta?? Malah mas Anies sendiri banyak memberikan izin pembangunan rumah ibadah agama agama lain. Jadi Ucapan memecah belah itu tdk terbukti
Hamdiirawan17,@lowerabdomen @BudiBukanIntel Mending dibilang kafir dari pada uang dana haji pembangunan dan izin rumah ibadah sama kitab suci dikorupsi
beritaKBR,Publik Menanti Komitmen Pemerintah Permudah Izin Rumah Ibadah | Gregoria Mariska Tunjung Sumbang Medali Pertama di Olimpiade Paris | BNPB Modifikasi Cuaca agar Pembangunan di IKN Lancar | Selengkapnya di #BuletinPagi https://t.co/nk908MHtP3 #PodcastIndonesia https://t.co/Rbz6OGfDne
SaifuddinSay,Kuota haji aja diperjualbelikan. Apalagi izin pembangunan rumah ibadah yg godaan cuannya pasti lbih gede. https://t.co/TSrICfUdSq
Inisiatifnews,Gus Yaqut Ingin Izin Pembangunan Rumah Ibadah Cukup Lewat Kemenag https://t.co/nZvHXiDnoU https://t.co/jwzdBwqDx2
,@HerryDharmawan @OlgaLy_DIA @jokowi nah ini perlu dipertanyakan ke Jokowi. @OlgaLy_DIA soalnya pembangunan rumah ibadah kalo pemimpinnya bisa bernegosiasi dengan penduduk &amp
Poseidon_jnr,OrmasÂ² agama itu seharusnya ditawari kemudahan izin pembangunan rumah ibadah bukan izin tambang.
